,text,hashtags,Sentiment
43,I only have faith in tried and thoroughly tested vaccines. So far #OxfordAstraZeneca #PfizerBioNTech and #Moderna C… https://t.co/ooR5soTCzH,"['OxfordAstraZeneca', 'PfizerBioNTech', 'Moderna']",Negative
44,So grateful for the 1st dose of the #PfizerBioNTech vaccine. On the same day the #OxfordAstraZeneca vaccine was app… https://t.co/H1CH7joGz6,"['PfizerBioNTech', 'OxfordAstraZeneca']",Negative
45,People in NL tweeting me to say Dutch plan to roll out #AstraZeneca before #PfizerBioNTech because it’s easier to a… https://t.co/Z33psqG4c5,"['AstraZeneca', 'PfizerBioNTech']",Negative
46,"#oxfordastrazeneca
#PfizerBioNTech
#PfizerVaccine
#OxfordVaccine
#COVID19
#Covid19UK

#FollowTheScience

Follow wha… https://t.co/WFmc8uvA62","['oxfordastrazeneca', 'PfizerBioNTech', 'PfizerVaccine', 'OxfordVaccine', 'COVID19', 'Covid19UK', 'FollowTheScience']",Negative
47,"@rhysblakely @adamboultonSKY #PfizerBioNTech tell me NO under no circumstances, #Moderna no reply, #AstraZeneca No.… https://t.co/hXO7GTKwJu","['PfizerBioNTech', 'Moderna', 'AstraZeneca']",Negative
48,It’s on the #PfizerBioNTech notice in Belgium. Risk is under 1/1000. #AstraZeneca is not a mRNA vaccine and using a… https://t.co/d2IblhkcTZ,"['PfizerBioNTech', 'AstraZeneca']",Negative
49,We are being experimented on! #oxfordastrazeneca #vaccine #SARSCoV2 #experimentalvaccine #MedicalTyranny… https://t.co/UoOHFnXqzV,"['oxfordastrazeneca', 'vaccine', 'SARSCoV2', 'experimentalvaccine', 'MedicalTyranny']",Negative
50,"@martinmckee @JMPSimor I agree regarding the #AstraZeneca vaccine, which was studied beyond 21 days and, for which… https://t.co/THYuEWAC9Z",['AstraZeneca'],Negative
51,"@SkyNews #oxfordastrazeneca
#PfizerBioNTech
#PfizerVaccine
#OxfordVaccine
#COVID19
#Covid19UK

#FollowTheScience

F… https://t.co/A6VUF9BTW2","['oxfordastrazeneca', 'PfizerBioNTech', 'PfizerVaccine', 'OxfordVaccine', 'COVID19', 'Covid19UK', 'FollowTheScience']",Negative
52,"The #oxfordastrazeneca vaccine is being administered to the first people in the UK today.

This is the second vacci… https://t.co/jesf9I7Xun",['oxfordastrazeneca'],Positive
53,"Iran records 6,073 daily confirmed cases of COVID-19 #Iran #AstraZeneca #Nationallockdown #PfizerBioNTech #COVID19… https://t.co/bZoOTpV5hx","['Iran', 'AstraZeneca', 'Nationallockdown', 'PfizerBioNTech', 'COVID19']",Positive
54,"Iran records 6,073 daily confirmed cases of COVID-19 #Iran #AstraZeneca #Nationallockdown #PfizerBioNTech #COVID19… https://t.co/adYkUkSMN8","['Iran', 'AstraZeneca', 'Nationallockdown', 'PfizerBioNTech', 'COVID19']",Positive
55,Genuine question: how long does protection last if you only have one injection? #CovidVaccine #oxfordastrazeneca #PfizerBioNTech,"['CovidVaccine', 'oxfordastrazeneca', 'PfizerBioNTech']",Positive
56,"Do pharmaceutical companies had victims from #covid19? 

#PfizerBioNTech #AstraZeneca #Moderna #COVIDー19 #COVID20 #Covid","['covid19', 'PfizerBioNTech', 'AstraZeneca', 'Moderna', 'COVIDー19', 'COVID20', 'Covid']",Negative
57,"@shimself No, that's due to the #PfizerBioNTech and #AstraZeneca vaccines being approved quicker by MHRA in the UK… https://t.co/5fzpr0eNhw","['PfizerBioNTech', 'AstraZeneca']",Negative
58,@CMO_England  Are patients who are taking #rivaroxaban safe to receive the #PfizerBioNTech and #oxfordastrazeneca vaccine?,"['rivaroxaban', 'PfizerBioNTech', 'oxfordastrazeneca']",Positive
59,"1st @BritishArmy helped #NHS #Covid testing
Now @GOVUK 
 #Oxford #AstraZeneca #Vaccine to top up the… https://t.co/cL9F1dUuS6","['NHS', 'Covid', 'Oxford', 'AstraZeneca', 'Vaccine']",Positive
60,So @pdsutter won't be wanting to use the #PfizerBioNTech or #OxfordAstrazeneca vaccines then? Once the EU actually… https://t.co/UBf6YHskMP,"['PfizerBioNTech', 'OxfordAstrazeneca']",Negative
61,"Covid Vaccine: Is it Halal or Not?
#COVID19
#coronavirus #PfizerBioNTech
#AstraZeneca

https://t.co/JGyEhC63xF via @TheClarionIndia","['COVID19', 'coronavirus', 'PfizerBioNTech', 'AstraZeneca']",Negative
62,Me taking all three COVID vaccines to become immortal #vaccinations #Moderna #PfizerBioNTech #AstraZeneca https://t.co/QJdU8DJFiy,"['vaccinations', 'Moderna', 'PfizerBioNTech', 'AstraZeneca']",Negative
63,"Reportedly, a population of close to 1.5 million people have been given the #oxfordastrazeneca and the… https://t.co/eOJqfD1ibX",['oxfordastrazeneca'],Negative
64,Huge planned winter rollout of #vaccine will be done using only #AstraZeneca and #PfizerBioNTech for now despite to… https://t.co/PeXpPOEIJ1,"['vaccine', 'AstraZeneca', 'PfizerBioNTech']",Positive
65,"India coronavirus death toll reaches 150,606 #India #CoronavirusPandemic #AstraZeneca #PfizerBioNTech #COVID20… https://t.co/dq0D6YiZp1","['India', 'CoronavirusPandemic', 'AstraZeneca', 'PfizerBioNTech', 'COVID20']",Negative
66,"Australia’s vaccine approval:
#AstraZeneca 
#PfizerBioNTech
And now, #Moderna
Remember: frontline workers and the v… https://t.co/ZE8M7v3IEk","['AstraZeneca', 'PfizerBioNTech', 'Moderna']",Negative
67,"It's going to be like Gryffindor, Slytherin, Hufflepuff houses isn't it. What are you? ""Oh I'm so an #AstraZeneca ,… https://t.co/OyGV05uWxs",['AstraZeneca'],Negative
68,So #PfizerBioNTech vaccine is effective against the South African variant of #COVID19 is #AstraZeneca’s vaccine eff… https://t.co/CtOtqwuiuf,"['PfizerBioNTech', 'COVID19', 'AstraZeneca']",Positive
69,Just remember this when choosing your Coronavirus vaccine... #oxfordastrazeneca  or #PfizerBioNTech?… https://t.co/4FpwwDUEVV,"['oxfordastrazeneca', 'PfizerBioNTech']",Negative
70,"India coronavirus death toll reaches 150,606 #India #CoronavirusPandemic #AstraZeneca #PfizerBioNTech #COVID20… https://t.co/VhjoIV7Tim","['India', 'CoronavirusPandemic', 'AstraZeneca', 'PfizerBioNTech', 'COVID20']",Negative
71,#oxfordastrazeneca #PfizerBioNTech What happens if you have one vaccine as an initial dose then receive the other a… https://t.co/wD6XPxUxpV,"['oxfordastrazeneca', 'PfizerBioNTech']",Negative
72,"I don't care where it's the #oxfordvaccine/#AstraZeneca or the #PfizerBioNTech vaccine, I'm just waiting for Bill gates Vaccine","['oxfordvaccine', 'AstraZeneca', 'PfizerBioNTech']",Negative
73,"Let's go people!  Needles in arms ASAP!

#COVID19 
#mrnavaccine 
#vaccination 
#AstraZeneca #Moderna #PfizerBioNTech https://t.co/bfqG7XZOmT","['COVID19', 'mrnavaccine', 'vaccination', 'AstraZeneca', 'Moderna', 'PfizerBioNTech']",Negative
74,"The #CovidVaccine from both #PfizerBioNTech and #OxfordAstrazeneca have met strict standards of safety, quality and… https://t.co/7E4zM5i4J5","['CovidVaccine', 'PfizerBioNTech', 'OxfordAstrazeneca']",Negative
75,@RichieBBG Unless there’s something different about the #PfizerBioNTech vaccine? The #AstraZeneca #OxfordVaccine ha… https://t.co/Fg0bJqG7yL,"['PfizerBioNTech', 'AstraZeneca', 'OxfordVaccine']",Negative
76,#markofthebeast connected with #vaccinations #VaccineStrategy #PfizerBioNTech #AstraZeneca #ZaidHamid #xrp… https://t.co/DqV3tI5YrT,"['markofthebeast', 'vaccinations', 'VaccineStrategy', 'PfizerBioNTech', 'AstraZeneca', 'ZaidHamid', 'xrp']",Negative
77,#COVIDVaccination 10minute #podcast on the key stuff to know before you have the #AstraZeneca or #PfizerBioNTech ja… https://t.co/nrRZxY1vph,"['COVIDVaccination', 'podcast', 'AstraZeneca', 'PfizerBioNTech']",Negative
78,"#Covid-19 vaccines are from 

#PfizerBioNTech  --- ? -70C     £15
University of #Oxford and #AstraZeneca --   fridg… https://t.co/6sUEmVUToI","['Covid', 'PfizerBioNTech', 'Oxford', 'AstraZeneca']",Negative
79,"#AstraZeneca at 62 per cent efficacy, it leaves many people #CovidVulnerable. Consider this #PfizerBioNTech at 95 p… https://t.co/TrKZCrjHJi","['AstraZeneca', 'CovidVulnerable', 'PfizerBioNTech']",Positive
80,Correction on previous post: 62% effective rate for #AstraZeneca. #COVID19 #vaccine #AstraZeneca #Moderna… https://t.co/8esN0zqdFT,"['AstraZeneca', 'COVID19', 'vaccine', 'AstraZeneca', 'Moderna']",Positive
81,AstraZeneca’s Phase 3 only shows 67% effective rate while while Pfeizer shows 90% #COVID19 #vaccine #AstraZeneca… https://t.co/ggDZicWEB1,"['COVID19', 'vaccine', 'AstraZeneca']",Positive
82,Johnson &amp; Johnson to launch its *single-shot coronavirus vaccine* in March 2021 #COVID19 #AstraZeneca #PfizerBioNTech #modernavaccine,"['COVID19', 'AstraZeneca', 'PfizerBioNTech', 'modernavaccine']",Negative
83,Correction: #AstraZeneca back UK Govt's approach to extended dosage period for #COVIDVaccination. As of today… https://t.co/JZtvW4btNA,"['AstraZeneca', 'COVIDVaccination']",Negative
84,"Experts, including Turner, cited data showing the #AstraZeneca jab had 62% efficacy compared with over 90% for the… https://t.co/VOWEpA5b7W",['AstraZeneca'],Negative
85,"Am definitely taking no vaccine. You go scream your lungs out you want 🤚

 #Pfizer #AstraZeneca #Sinovac… https://t.co/IyDPV3XFzs","['Pfizer', 'AstraZeneca', 'Sinovac']",Negative
86,Feeling a bit proud of community #pharmacy today #vaccine #vaccinationCovid #AstraZeneca #PfizerBioNTech #COVIDー19 https://t.co/pw1hMG5MBc,"['pharmacy', 'vaccine', 'vaccinationCovid', 'AstraZeneca', 'PfizerBioNTech', 'COVIDー19']",Positive
87,"Hey everyone, I’ll like to know the positive and negative reaction to #PfizerBioNTech and #AstraZeneca vaccines?","['PfizerBioNTech', 'AstraZeneca']",Negative
88,whole family / locality has received #PfizerBioNTech and Oxford #AstraZeneca All MashAllah stable awaiting 2nd one… https://t.co/EC9mSao7R0,"['PfizerBioNTech', 'AstraZeneca']",Positive
89,"Finally William Shakespeare got vaccine 😀
#vaccine #Pfizer #AstraZeneca #PfizerBioNTech #CovidVaccine #vaccination… https://t.co/o9M0UUuOox","['vaccine', 'Pfizer', 'AstraZeneca', 'PfizerBioNTech', 'CovidVaccine', 'vaccination']",Negative
90,"Anyone?

#PfizerVaccine #PfizerBioNTech #PfizerCovidVaccine #astrazeneca #Moderna #vaccine #COVID19 #Covid19UK 

https://t.co/jYdkIBpbsD","['PfizerVaccine', 'PfizerBioNTech', 'PfizerCovidVaccine', 'astrazeneca', 'Moderna', 'vaccine', 'COVID19', 'Covid19UK']",Negative
91,"@DrNeilStone one dose doest mean you're vaccinated...

you need two doses

#PfizerBioNTech #OxfordAstraZeneca… https://t.co/9AmbRK1mVW","['PfizerBioNTech', 'OxfordAstraZeneca']",Negative
92,@LBCNews You are only giving half the vaccine!! 2 doses equals the vaccine !!!!!!@MattHancock #vaccine #PfizerBioNTech #AstraZeneca,"['vaccine', 'PfizerBioNTech', 'AstraZeneca']",Negative
93,"By preventing #PfizerBioNTech  and #oxfordastrazeneca coming to Iran, We can call Mr. #Khamenei 's act as treason.… https://t.co/7lAJ526RLN","['PfizerBioNTech', 'oxfordastrazeneca', 'Khamenei']",Negative
94,To Vaxx or Not to Vaxx... ? #CovidVaccine #COVID19Vaccine #vaccine #SputnikV #PfizerBioNTech #AstraZeneca #Moderna… https://t.co/XkXBo3MTdN,"['CovidVaccine', 'COVID19Vaccine', 'vaccine', 'SputnikV', 'PfizerBioNTech', 'AstraZeneca', 'Moderna']",Negative
95,"@RichardJMurphy And ALSO which ones- #PfizerBioNTech &amp;/or #AstraZenecaOxford-
are going WHERE 
i.e. Within #England… https://t.co/K4exUPwDEN","['PfizerBioNTech', 'AstraZenecaOxford', 'England']",Negative
96,"Such a generous and mature approach. Thank you, Germany! #coronavirus #COVID19 #VaccinationDrive #AstraZeneca… https://t.co/P1eThZQMDi","['coronavirus', 'COVID19', 'VaccinationDrive', 'AstraZeneca']",Positive
97,You need two jabs of the vaccine to be protected against #Covid. That's the vaccination. #PfizerBioNTech #oxfordastrazeneca #Moderna,"['Covid', 'PfizerBioNTech', 'oxfordastrazeneca', 'Moderna']",Negative
98,@pippip343 @sammwittings @Cedar50 This applies to #PfizerBioNTech vaccine. The #oxfordastrazeneca vaccine was trial… https://t.co/A8F1HRoRdJ,"['PfizerBioNTech', 'oxfordastrazeneca']",Negative
99,"Can the different #vaccines be mixed?
#Moderna #OxfordAstraZeneca #PfizerBioNTech

https://t.co/hSy9AnEGpG https://t.co/rNpgynuWki","['vaccines', 'Moderna', 'OxfordAstraZeneca', 'PfizerBioNTech']",Negative
100,"Can the different #vaccines be mixed?
#Moderna #OxfordAstraZeneca #PfizerBioNTech

https://t.co/hSy9AnEGpG https://t.co/6YTeqlzRVZ","['vaccines', 'Moderna', 'OxfordAstraZeneca', 'PfizerBioNTech']",Negative
101,@mojos55 #PfizerBioNTech or #oxfordastrazeneca too?,"['PfizerBioNTech', 'oxfordastrazeneca']",Negative
102,"Can the different #vaccines be mixed?
#Moderna #OxfordAstraZeneca #PfizerBioNTech

https://t.co/hSy9AnEGpG https://t.co/huPuVPeEJR","['vaccines', 'Moderna', 'OxfordAstraZeneca', 'PfizerBioNTech']",Negative
103,"Would you vaccinate or not? 

#vaccinated #vaccine #CoronavirusVaccine #PfizerBioNTech #AstraZeneca #Pfizer… https://t.co/wYv1uN3Wsl","['vaccinated', 'vaccine', 'CoronavirusVaccine', 'PfizerBioNTech', 'AstraZeneca', 'Pfizer']",Negative
104,"Oh FFS. 

#vaccines #CovidVaccine
#COVIDVaccination #PfizerBioNTech #AstraZeneca https://t.co/B1V0QM2q34","['vaccines', 'CovidVaccine', 'COVIDVaccination', 'PfizerBioNTech', 'AstraZeneca']",Negative
105,"@Muallimsays @WHO In my search, the #oxfordastrazeneca vaccine has one of the most studies done on it for efficacy,… https://t.co/NF3LyXDLhc",['oxfordastrazeneca'],Positive
106,@NHSuk Which vaccine are we talking about? Oxford #AstraZeneca or #PfizerBioNTech ?,"['AstraZeneca', 'PfizerBioNTech']",Negative
107,"@vonderleyen Nice ambition. Can you add : 
- validation of a third vaccine #oxfordastrazeneca 
- discussion with… https://t.co/hN4LJKRBLD",['oxfordastrazeneca'],Positive
108,"Can #COVID19 #vaccines be mixed and matched?
-
#PfizerBioNTech #Moderna #AstraZeneca #Covaxin
https://t.co/n6ftjaSYar","['COVID19', 'vaccines', 'PfizerBioNTech', 'Moderna', 'AstraZeneca', 'Covaxin']",Negative
109,@MrsAitchBee @BrendaSimmonds Enough of #PfizerBioNTech &amp; #oxfordastrazeneca ?,"['PfizerBioNTech', 'oxfordastrazeneca']",Negative
110,"WHO says it signed up to 40 mln #PfizerBioNTech vaccine doses, nearly 150 mln #AstraZeneca #Oxford vaccines (pendin… https://t.co/w0Ob9q3UrS","['PfizerBioNTech', 'AstraZeneca', 'Oxford']",Positive
111,@Mandoline_Blue Is it a supply issue for just #PfizerVaccine or #oxfordastrazeneca too? They should use… https://t.co/LJzQTVd8dm,"['PfizerVaccine', 'oxfordastrazeneca']",Negative
112,"If it's true, it looks like #AstraZeneca won't be supplying to Australia for a while.That is why #PfizerBioNTech is… https://t.co/NLHGLsYCxZ","['AstraZeneca', 'PfizerBioNTech']",Positive
113,#Australia on Monday approved the #PfizerBioNTech #Covid19Vaccine for use but warned #AstraZeneca's international p… https://t.co/rHfz2o9sX9,"['Australia', 'PfizerBioNTech', 'Covid19Vaccine', 'AstraZeneca']",Negative
114,Health always loses in the black market for vaccines - let’s move to Dubai!! @EU_Commission #covid19 #AstraZeneca #PfizerBioNTech,"['covid19', 'AstraZeneca', 'PfizerBioNTech']",Negative
115,That’s what I call - „good news“ | who cares about #AstraZeneca anyway if we can have #PfizerBioNTech and #Moderna… https://t.co/QEHrdqPT3r,"['AstraZeneca', 'PfizerBioNTech', 'Moderna']",Negative
116,"@mmjblair Just a straightforward depopulation agent, pure &amp; simple.

#AstraZeneca 
#Pfizer 
#PfizerVaccine… https://t.co/a5i11phEOm","['AstraZeneca', 'Pfizer', 'PfizerVaccine']",Positive
117,Just wondering why the #oxfordastrazeneca vaccine is only 62% efficacy compared to #PfizerBioNTech 95% efficacy?… https://t.co/HkhAWSWi2l,"['oxfordastrazeneca', 'PfizerBioNTech']",Negative
118,"#astrazenecavaccine #astrazeneca The British Brexit army has stormed the ""social media"" again, spreading the Farrag… https://t.co/haOMMhuzCP","['astrazenecavaccine', 'astrazeneca']",Negative
119,@BorisJohnson should tell @EUCouncil to get stuffed over  #oxfordastrazeneca row. #EU policy held up distribution o… https://t.co/mXOUPXHMqo,"['oxfordastrazeneca', 'EU']",Negative
120,"Did #BorisJohnson #ASTRAZENECA (like Trump #PfizerBioNTech Vaccine-USA First) instruct - Vaccine-GB First?
It would… https://t.co/KRCESrCpOl","['BorisJohnson', 'ASTRAZENECA', 'PfizerBioNTech']",Positive
121,#vaccine can you have 1 dose of #AstraZeneca and one dose of #PfizerBioNTech or #modernavaccine can you mix and mat… https://t.co/oOTh00zSzO,"['vaccine', 'AstraZeneca', 'PfizerBioNTech', 'modernavaccine']",Negative
122,"#UK adult pop. 51m approx.
40m doses of #PfizerBioNTech #vaccine ordered
100m #Oxford #astrazenecavaccine 
30m… https://t.co/QS8Xxqw0nl","['UK', 'PfizerBioNTech', 'vaccine', 'Oxford', 'astrazenecavaccine']",Positive
123,"#novavax #astrazeneca #pfizerbiontech Brilliant. Everyone who tried to make us even more worried, even more scared… https://t.co/wAVGTlWboB","['novavax', 'astrazeneca', 'pfizerbiontech']",Positive
